Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Image Src,Image Alt Text,Status
adrenal-support-placeholder,Adrenal Support - Sample Product,<p>Comprehensive adrenal support formula with adaptogenic herbs to help manage stress and energy levels.</p>,Pharmacy Innovations,Adrenal Support,"Adrenal Support, Health & Wellness",TRUE,Size,Default,SKU-ADRENAL-001,100,shopify,deny,manual,29.99,,TRUE,,,active
allergy-relief-placeholder,Allergy Relief - Sample Product,<p>Natural allergy relief formula to support seasonal and environmental comfort.</p>,Pharmacy Innovations,Allergies,"Allergies, Health & Wellness",TRUE,Size,Default,SKU-ALLERGY-001,100,shopify,deny,manual,24.99,,TRUE,,,active
apothepack-placeholder,Apothepack - Sample Product,<p>Convenient daily supplement pack customized for your health needs.</p>,Pharmacy Innovations,Apothepack,"Apothepack, Supplements",TRUE,Size,Default,SKU-APOTHE-001,150,shopify,deny,manual,49.99,,TRUE,,,active
beauty-product-placeholder,Beauty Essentials - Sample Product,<p>Premium beauty product for healthy radiant skin.</p>,Pharmacy Innovations,Beauty,"Beauty, Personal Care",TRUE,Size,Default,SKU-BEAUTY-001,80,shopify,deny,manual,19.99,,TRUE,,,active
books-placeholder,Health & Wellness Book - Sample Product,<p>Educational resource on health wellness and nutrition.</p>,Pharmacy Innovations,Books,"Books, Education",TRUE,Size,Default,SKU-BOOK-001,300,shopify,deny,manual,14.99,,TRUE,,,active
childrens-health-placeholder,Children's Multivitamin - Sample Product,<p>Kid-friendly multivitamin formula with essential nutrients for growing children.</p>,Pharmacy Innovations,Children,"Children, Vitamins & Minerals",TRUE,Size,Default,SKU-CHILD-001,90,shopify,deny,manual,17.99,,TRUE,,,active
cold-flu-placeholder,Cold & Flu Support - Sample Product,<p>Immune-boosting formula to support recovery during cold and flu season.</p>,Pharmacy Innovations,Cold and Flu,"Cold and Flu, Immune Support, Health & Wellness",TRUE,Size,Default,SKU-COLDFLU-001,100,shopify,deny,manual,22.99,,TRUE,,,active
diabetic-support-placeholder,Diabetic Support - Sample Product,<p>Targeted nutritional support for healthy blood sugar levels.</p>,Pharmacy Innovations,Diabetic Support,"Diabetic Support, Health & Wellness",TRUE,Size,Default,SKU-DIABET-001,110,shopify,deny,manual,34.99,,TRUE,,,active
digestive-support-placeholder,Digestive Enzyme Blend - Sample Product,<p>Full-spectrum digestive enzyme formula for healthy digestion and nutrient absorption.</p>,Pharmacy Innovations,Digestive Support,"Digestive Support, Health & Wellness",TRUE,Size,Default,SKU-DIGEST-001,100,shopify,deny,manual,24.99,,TRUE,,,active
energy-booster-placeholder,Energy Booster - Sample Product,<p>Natural energy formula with B-vitamins and adaptogens for sustained vitality.</p>,Pharmacy Innovations,Energy Boosters,"Energy Boosters, Supplements",TRUE,Size,Default,SKU-ENERGY-001,90,shopify,deny,manual,27.99,,TRUE,,,active
essential-oils-placeholder,Essential Oil Blend - Sample Product,<p>Pure therapeutic-grade essential oil for aromatherapy and wellness.</p>,Pharmacy Innovations,Essential Oils,"Essential Oils, Herbs",TRUE,Size,Default,SKU-ESSOIL-001,50,shopify,deny,manual,15.99,,TRUE,,,active
first-aid-placeholder,First Aid Kit Essentials - Sample Product,<p>Essential first aid supplies for home and travel.</p>,Pharmacy Innovations,First Aid,"First Aid, Medical Supplies",TRUE,Size,Default,SKU-FIRST-001,200,shopify,deny,manual,12.99,,TRUE,,,active
hair-skin-nails-placeholder,Hair Skin & Nails Formula - Sample Product,<p>Biotin and collagen blend for healthy hair glowing skin and strong nails.</p>,Pharmacy Innovations,"Hair, Skin, & Nails","Hair Skin & Nails, Beauty",TRUE,Size,Default,SKU-HSN-001,100,shopify,deny,manual,29.99,,TRUE,,,active
heart-support-placeholder,Heart Health Omega-3 - Sample Product,<p>Premium fish oil supplement rich in EPA and DHA for cardiovascular health.</p>,Pharmacy Innovations,Heart Support,"Heart Support, Health & Wellness",TRUE,Size,Default,SKU-HEART-001,180,shopify,deny,manual,22.99,,TRUE,,,active
herbs-placeholder,Herbal Supplement Blend - Sample Product,<p>Traditional herbal formula for overall wellness and balance.</p>,Pharmacy Innovations,Herbs,"Herbs, Supplements",TRUE,Size,Default,SKU-HERB-001,90,shopify,deny,manual,18.99,,TRUE,,,active
immune-support-placeholder,Immune Booster Formula - Sample Product,<p>Powerful immune support blend with Vitamin C Zinc and Elderberry.</p>,Pharmacy Innovations,Immune Support,"Immune Support, Health & Wellness",TRUE,Size,Default,SKU-IMMUNE-001,100,shopify,deny,manual,27.99,,TRUE,,,active
inflammation-placeholder,Inflammation Support - Sample Product,<p>Natural anti-inflammatory formula with turmeric and omega-3 fatty acids.</p>,Pharmacy Innovations,Inflammation Management,"Inflammation Management, Health & Wellness",TRUE,Size,Default,SKU-INFLAM-001,110,shopify,deny,manual,31.99,,TRUE,,,active
medical-supplies-placeholder,Medical Supplies - Sample Product,<p>Quality medical supplies for home healthcare needs.</p>,Pharmacy Innovations,Medical Supplies,"Medical Supplies, First Aid",TRUE,Size,Default,SKU-MEDSUP-001,250,shopify,deny,manual,19.99,,TRUE,,,active
mens-health-placeholder,Men's Vitality Complex - Sample Product,<p>Comprehensive men's health formula supporting energy and overall vitality.</p>,Pharmacy Innovations,Men's Health,"Men's Health, Specialized Health",TRUE,Size,Default,SKU-MENS-001,120,shopify,deny,manual,34.99,,TRUE,,,active
mood-support-placeholder,Mood Support Formula - Sample Product,<p>Natural mood support with 5-HTP St. John's Wort and B-vitamins.</p>,Pharmacy Innovations,Mood,"Mood, Health & Wellness",TRUE,Size,Default,SKU-MOOD-001,90,shopify,deny,manual,26.99,,TRUE,,,active
nuskin-placeholder,NuSkin Product - Sample Product,<p>NuSkin personal care and wellness product.</p>,NuSkin,NuSkin,"NuSkin, Personal Care, Beauty",TRUE,Size,Default,SKU-NUSKIN-001,100,shopify,deny,manual,39.99,,TRUE,,,active
nutritional-supplements-placeholder,Nutritional Supplement - Sample Product,<p>Complete nutritional supplement for daily health and wellness support.</p>,Pharmacy Innovations,Nutritional Supplements,"Nutritional Supplements, Supplements",TRUE,Size,Default,SKU-NUTRI-001,120,shopify,deny,manual,32.99,,TRUE,,,active
odds-ends-placeholder,Odds & Ends - Sample Product,<p>Miscellaneous health and wellness item.</p>,Pharmacy Innovations,Odds & Ends,"Odds & Ends",TRUE,Size,Default,SKU-ODDS-001,80,shopify,deny,manual,9.99,,TRUE,,,active
pelvic-floor-placeholder,Pelvic Floor Therapy - Sample Product,<p>Pelvic floor support product for rehabilitation and wellness.</p>,Pharmacy Innovations,Pelvic Floor Therapy,"Pelvic Floor Therapy, Women's Health, Specialized Health",TRUE,Size,Default,SKU-PELVIC-001,100,shopify,deny,manual,44.99,,TRUE,,,active
personal-care-placeholder,Personal Care Essentials - Sample Product,<p>Quality personal care product for daily use.</p>,Pharmacy Innovations,Personal Care,"Personal Care, Beauty",TRUE,Size,Default,SKU-PERSCARE-001,90,shopify,deny,manual,11.99,,TRUE,,,active
pet-health-placeholder,Pet Health Supplement - Sample Product,<p>Nutritional supplement formulated for your pet's health and wellness.</p>,Pharmacy Innovations,Pets,"Pets, Animal Health",TRUE,Size,Default,SKU-PET-001,150,shopify,deny,manual,24.99,,TRUE,,,active
