Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Image Src,Image Alt Text,SEO Title,SEO Description,Status
example-vitamin-d3,Vitamin D3 5000 IU,<p>High-potency Vitamin D3 supplement to support bone health and immune function.</p>,Pharmacy Innovations,Health & Beauty > Health Care,Vitamins & Minerals,"vitamins, immune support, bone health",TRUE,Size,60 Capsules,SKU-VITD3-60,100,shopify,50,deny,manual,24.99,29.99,TRUE,,,Vitamin D3 5000 IU | Pharmacy Innovations Store,High-potency Vitamin D3 supplement for bone and immune health,active
example-probiotic-blend,Probiotic Blend 50 Billion CFU,<p>Multi-strain probiotic formula to support digestive health and gut balance.</p>,Pharmacy Innovations,Health & Beauty > Health Care,Probiotics,"probiotics, digestive support, gut health",TRUE,Size,30 Capsules,SKU-PROB-30,80,shopify,40,deny,manual,34.99,39.99,TRUE,,,Probiotic Blend 50 Billion CFU | Pharmacy Innovations Store,Multi-strain probiotic for digestive health and gut balance,active
,,,,,,,,Size,60 Capsules,SKU-PROB-60,150,shopify,25,deny,manual,59.99,69.99,TRUE,,,,
example-adrenal-support,Adrenal Support Complex,<p>Comprehensive adrenal support formula with adaptogenic herbs to help manage stress and energy levels.</p>,Pharmacy Innovations,Health & Beauty > Health Care,Adrenal Support,"adrenal support, stress, energy, adaptogens",TRUE,Size,90 Capsules,SKU-ADREN-90,120,shopify,30,deny,manual,29.99,,TRUE,,,Adrenal Support Complex | Pharmacy Innovations Store,Adaptogenic formula for adrenal and stress support,active
example-immune-booster,Immune Booster Formula,<p>Powerful immune support blend with Vitamin C Zinc and Elderberry.</p>,Pharmacy Innovations,Health & Beauty > Health Care,Immune Support,"immune support, vitamin c, zinc, elderberry",TRUE,Size,60 Capsules,SKU-IMMUN-60,90,shopify,45,deny,manual,27.99,32.99,TRUE,,,Immune Booster Formula | Pharmacy Innovations Store,Immune support with Vitamin C Zinc and Elderberry,active
example-sleep-support,Sleep Support Melatonin Complex,<p>Natural sleep aid with melatonin magnesium and L-theanine for restful sleep.</p>,Pharmacy Innovations,Health & Beauty > Health Care,Sleep Support,"sleep support, melatonin, magnesium, relaxation",TRUE,Size,60 Capsules,SKU-SLEEP-60,85,shopify,35,deny,manual,19.99,24.99,TRUE,,,Sleep Support Melatonin Complex | Pharmacy Innovations Store,Natural sleep aid with melatonin and magnesium,active
example-womens-multivitamin,Women's Daily Multivitamin,<p>Complete daily multivitamin designed specifically for women's health needs.</p>,Pharmacy Innovations,Health & Beauty > Health Care,Women's Health,"women's health, multivitamin, daily vitamin",TRUE,Size,90 Tablets,SKU-WMULTI-90,130,shopify,40,deny,manual,32.99,39.99,TRUE,,,Women's Daily Multivitamin | Pharmacy Innovations Store,Complete multivitamin for women's daily health needs,active
example-mens-health,Men's Vitality Complex,<p>Comprehensive men's health formula supporting energy testosterone and overall vitality.</p>,Pharmacy Innovations,Health & Beauty > Health Care,Men's Health,"men's health, vitality, energy, testosterone support",TRUE,Size,60 Capsules,SKU-MVITAL-60,100,shopify,30,deny,manual,34.99,42.99,TRUE,,,Men's Vitality Complex | Pharmacy Innovations Store,Comprehensive formula for men's vitality and energy,active
example-digestive-enzyme,Digestive Enzyme Blend,<p>Full-spectrum digestive enzyme formula to support healthy digestion and nutrient absorption.</p>,Pharmacy Innovations,Health & Beauty > Health Care,Digestive Support,"digestive support, enzymes, gut health, nutrient absorption",TRUE,Size,90 Capsules,SKU-DIGEST-90,110,shopify,50,deny,manual,24.99,29.99,TRUE,,,Digestive Enzyme Blend | Pharmacy Innovations Store,Full-spectrum digestive enzymes for healthy digestion,active
example-fish-oil,Omega-3 Fish Oil 1000mg,<p>Premium fish oil supplement rich in EPA and DHA for heart and brain health.</p>,Pharmacy Innovations,Health & Beauty > Health Care,Heart Support,"heart support, omega-3, fish oil, brain health",TRUE,Size,120 Softgels,SKU-FISH-120,200,shopify,60,deny,manual,22.99,27.99,TRUE,,,Omega-3 Fish Oil 1000mg | Pharmacy Innovations Store,Premium fish oil with EPA and DHA for heart and brain health,active
example-collagen-peptides,Collagen Peptides Powder,<p>Hydrolyzed collagen peptides to support healthy skin hair nails and joints.</p>,Pharmacy Innovations,Health & Beauty > Health Care,"Hair, Skin, & Nails","beauty, collagen, skin health, hair, nails, joints",TRUE,Size,300g Powder,SKU-COLL-300,300,shopify,25,deny,manual,39.99,49.99,TRUE,,,Collagen Peptides Powder | Pharmacy Innovations Store,Hydrolyzed collagen for skin hair nails and joint health,active
